Country,Population,GDP,TechInvestments
Argentina,43847430,868699.71201337,133329.81663636363
Australia,24127159,1103891.64169288,285167.25127272727
Austria,8747358,426267.640695346,98203.03863636364
Belgium,11348159,512236.197119591,118185.02527272726
Brazil,207652865,2959318.48319572,557991.6549999999
Bulgaria,7127822,132116.415313441,27146.422818181814
Canada,36286425,1597523.73709853,371940.4134545454
Chile,17909754,391400.585592573,89571.27672727272
Colombia,48653419,615998.563133309,135303.3109090909
Costa Rica,4857274,77393.8403193331,14405.714727272727
Croatia,4170600,98530.3852551731,20154.67063636364
Cyprus,1170125,29422.7316099024,5322.977545454545
Czech Republic,10561633,360184.187997768,92655.01872727273
Denmark,5731118,278941.176552995,56178.320636363635
Estonia,1316481,38796.0613346294,9692.257909090911
Finland,5495096,237506.002071149,53919.15618181818
France,66896109,2708160.20571416,604899.0596363636
Germany,82667685,3834294.74793958,780854.9734545455
Greece,10746740,281309.511571713,38481.10636363637
Hungary,9817958,257406.129237024,57482.98854545455
Iceland,334252,16069.5216349312,2965.386636363636
India,1324171354,6452350.91346627,1992263.0503333334
Indonesia,261115456,2604959.75416983,836995.3858181819
Ireland,4773095,286677.6229547,76726.03963636364
Israel,8547100,253387.084510871,58505.584272727276
Italy,60600590,2301696.78546086,416497.5492727273
Japan,126994511,4420710.91314943,1141249.3648181818
Latvia,1960424,47744.9529268969,10517.494545454547
Lithuania,2872298,82174.7204343937,15804.646545454541
Luxembourg,582972,56910.8137738413,10475.205090909092
Madagascar,24894551,29674.2654060132,7039.43625
Malta,436947,15599.2133256282,3117.2614545454544
Mexico,127540423,2162896.47807856,474919.3730909091
Morocco,35276786,236534.502248586,71313.8002
Netherlands,17018408,857414.59273296,171320.51009090908
New Zealand,4692700,150226.291727656,37345.94890909091
Norway,5232929,321429.286948886,75977.52081818182
Peru,31773839,307878.513936043,74123.82533333333
Poland,37948016,997897.837576805,191798.24845454545
Portugal,10324611,311125.113545858,53533.70954545455
Romania,19705301,442790.948479409,107419.45327272727
Saudi Arabia,32275687,1568338.43342867,380016.8565454546
Singapore,5607283,456006.773312308,119684.76200000002
Slovak Republic,5428704,155319.378871287,33164.533727272734
Slovenia,2064845,66977.8422258882,13056.923272727274
South Africa,55908865,675856.021188865,131401.74318181816
Spain,46443959,1643757.29422694,317311.2459090909
Sweden,9903122,469265.416153296,111044.37409090908
Switzerland,8372098,556424.010991478,132144.0218181818
Turkey,79512426,1809581.4493584,508807.9103636364
United Kingdom,65637239,2761446.46277821,454287.41954545456
United States,323127513,15694971.4753975,3519367.5454545454
Zambia,16591390,44710.6085088756,14912.646250000002
